"GEO","Sex","YEAR","Avg_age"
"Canada","F",2012,90
"Canada","M",2012,87
"Canada","F",2013,91
"Canada","M",2013,87
"Canada","F",2014,91
"Canada","M",2014,87
"Canada","F",2015,91
"Canada","M",2015,87
"Canada","F",2016,91
"Canada","M",2016,87
"Manitoba","F",1980,87
"Manitoba","M",1980,79
"Manitoba","F",1981,87
"Manitoba","M",1981,79
"Manitoba","F",1982,87
"Manitoba","M",1982,80
"Manitoba","F",1983,87
"Manitoba","M",1983,80
"Manitoba","F",1984,88
"Manitoba","M",1984,80
"Manitoba","F",1985,88
"Manitoba","M",1985,80
"Manitoba","F",1986,88
"Manitoba","M",1986,80
"Manitoba","F",1987,88
"Manitoba","M",1987,80
"Manitoba","F",1988,88
"Manitoba","M",1988,80
"Manitoba","F",1989,88
"Manitoba","M",1989,80
"Manitoba","F",1990,88
"Manitoba","M",1990,81
"Manitoba","F",1991,88
"Manitoba","M",1991,81
"Manitoba","F",1992,88
"Manitoba","M",1992,81
"Manitoba","F",1993,88
"Manitoba","M",1993,81
"Manitoba","F",1994,88
"Manitoba","M",1994,81
"Manitoba","F",1995,88
"Manitoba","M",1995,81
"Manitoba","F",1996,88
"Manitoba","M",1996,82
"Manitoba","F",1997,88
"Manitoba","M",1997,82
"Manitoba","F",1998,88
"Manitoba","M",1998,82
"Manitoba","F",1999,88
"Manitoba","M",1999,82
"Manitoba","F",2000,88
"Manitoba","M",2000,82
"Manitoba","F",2001,88
"Manitoba","M",2001,83
"Manitoba","F",2002,88
"Manitoba","M",2002,83
"Manitoba","F",2003,89
"Manitoba","M",2003,83
"Manitoba","F",2004,89
"Manitoba","M",2004,84
"Manitoba","F",2005,89
"Manitoba","M",2005,84
"Manitoba","F",2006,89
"Manitoba","M",2006,84
"Manitoba","F",2007,89
"Manitoba","M",2007,85
"Manitoba","F",2008,90
"Manitoba","M",2008,85
"Manitoba","F",2009,90
"Manitoba","M",2009,85
"Manitoba","F",2010,90
"Manitoba","M",2010,85
"Manitoba","F",2011,90
"Manitoba","M",2011,86
"Manitoba","F",2012,90
"Manitoba","M",2012,86
"Manitoba","F",2013,90
"Manitoba","M",2013,86
"Manitoba","F",2014,90
"Manitoba","M",2014,86
"Manitoba","F",2015,90
"Manitoba","M",2015,86
"Manitoba","F",2016,90
"Manitoba","M",2016,86
"New Brunswick","F",1980,86
"New Brunswick","M",1980,78
"New Brunswick","F",1981,86
"New Brunswick","M",1981,78
"New Brunswick","F",1982,86
"New Brunswick","M",1982,78
"New Brunswick","F",1983,86
"New Brunswick","M",1983,78
"New Brunswick","F",1984,87
"New Brunswick","M",1984,78
"New Brunswick","F",1985,87
"New Brunswick","M",1985,79
"New Brunswick","F",1986,87
"New Brunswick","M",1986,79
"New Brunswick","F",1987,87
"New Brunswick","M",1987,79
"New Brunswick","F",1988,87
"New Brunswick","M",1988,79
"New Brunswick","F",1989,87
"New Brunswick","M",1989,80
"New Brunswick","F",1990,87
"New Brunswick","M",1990,80
"New Brunswick","F",1991,87
"New Brunswick","M",1991,80
"New Brunswick","F",1992,88
"New Brunswick","M",1992,80
"New Brunswick","F",1993,88
"New Brunswick","M",1993,80
"New Brunswick","F",1994,87
"New Brunswick","M",1994,80
"New Brunswick","F",1995,87
"New Brunswick","M",1995,81
"New Brunswick","F",1996,87
"New Brunswick","M",1996,81
"New Brunswick","F",1997,88
"New Brunswick","M",1997,81
"New Brunswick","F",1998,88
"New Brunswick","M",1998,81
